epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,99.4695,1.65756,3.46382,1.72311,0.02039,0.42857,0.267,0.11956,2.47857,4.13089,2.26902,8.5526e-05,8.5526e-05,8.5526e-05
40,102.47,1.28383,2.77499,1.50984,0.02039,0.42857,0.267,0.11956,2.47857,4.13089,2.26902,8.07574e-05,8.07574e-05,8.07574e-05
41,105.134,1.38247,3.48478,1.49087,0.02144,0.46429,0.22917,0.12444,2.448,4.0888,2.21595,7.56288e-05,7.56288e-05,7.56288e-05
42,107.656,2.43959,4.84292,2.11352,0.02144,0.46429,0.22917,0.12444,2.448,4.0888,2.21595,7.01403e-05,7.01403e-05,7.01403e-05
43,110.091,1.65589,3.50121,1.89369,0.01702,0.42857,0.24463,0.12693,2.42505,4.05366,2.19539,6.42918e-05,6.42918e-05,6.42918e-05
44,112.669,1.4774,3.14472,1.70008,0.01702,0.42857,0.24463,0.12693,2.42505,4.05366,2.19539,5.80833e-05,5.80833e-05,5.80833e-05
45,115.345,2.02117,4.44659,1.98626,0.01443,0.39286,0.22349,0.12965,2.37894,4.05456,2.1916,5.15148e-05,5.15148e-05,5.15148e-05
46,118.308,1.49616,3.24947,1.75866,0.01443,0.39286,0.22349,0.12965,2.37894,4.05456,2.1916,4.45864e-05,4.45864e-05,4.45864e-05
47,120.885,1.30824,3.22407,1.66842,0.01533,0.42857,0.22396,0.12816,2.35246,4.03414,2.19012,3.72981e-05,3.72981e-05,3.72981e-05
48,123.534,1.62902,3.35975,1.6067,0.01533,0.42857,0.22396,0.12816,2.35246,4.03414,2.19012,2.96498e-05,2.96498e-05,2.96498e-05
49,126.332,1.62515,3.2298,2.0406,0.01483,0.42857,0.2235,0.13041,2.33122,4.02531,2.16996,2.16415e-05,2.16415e-05,2.16415e-05
50,128.917,2.08654,4.38503,1.97599,0.01483,0.42857,0.2235,0.13041,2.33122,4.02531,2.16996,1.32732e-05,1.32732e-05,1.32732e-05
